block,trial_num,relation_1,relation_2,q_stim_1_id,q_stim_2_id,q_rel,q_stim_3_id,q_stim_4_id,correct_response
6,,is the same as,is the same as,1,2,the same as,3,4,yes
6,,is the same as,is the same as,1,2,the same as,4,3,yes
6,,is the same as,is the same as,2,1,the same as,3,4,yes
6,,is the same as,is the same as,2,1,the same as,4,3,yes
6,,is the same as,is the same as,1,2,opposite to,3,4,no
6,,is the same as,is the same as,1,2,opposite to,4,3,no
6,,is the same as,is the same as,2,1,opposite to,3,4,no
6,,is the same as,is the same as,2,1,opposite to,4,3,no
6,,is the same as,is opposite to,1,2,the same as,3,4,no
6,,is the same as,is opposite to,1,2,the same as,4,3,no
6,,is the same as,is opposite to,2,1,the same as,3,4,no
6,,is the same as,is opposite to,2,1,the same as,4,3,no
6,,is the same as,is opposite to,1,2,opposite to,3,4,yes
6,,is the same as,is opposite to,1,2,opposite to,4,3,yes
6,,is the same as,is opposite to,2,1,opposite to,3,4,yes
6,,is the same as,is opposite to,2,1,opposite to,4,3,yes
6,,is opposite to,is opposite to,1,2,the same as,3,4,yes
6,,is opposite to,is opposite to,1,2,the same as,4,3,yes
6,,is opposite to,is opposite to,2,1,the same as,3,4,yes
6,,is opposite to,is opposite to,2,1,the same as,4,3,yes
6,,is opposite to,is opposite to,1,2,opposite to,3,4,no
6,,is opposite to,is opposite to,1,2,opposite to,4,3,no
6,,is opposite to,is opposite to,2,1,opposite to,3,4,no
6,,is opposite to,is opposite to,2,1,opposite to,4,3,no
6,,is more than,is more than,1,2,the same as,3,4,yes
6,,is more than,is more than,1,2,the same as,4,3,no
6,,is more than,is more than,2,1,the same as,3,4,yes
6,,is more than,is more than,2,1,the same as,4,3,no
6,,is more than,is more than,1,2,opposite to,3,4,no
6,,is more than,is more than,1,2,opposite to,4,3,yes
6,,is more than,is more than,2,1,opposite to,3,4,no
6,,is more than,is more than,2,1,opposite to,4,3,yes
6,,is more than,is less than,1,2,the same as,3,4,no
6,,is more than,is less than,1,2,the same as,4,3,yes
6,,is more than,is less than,2,1,the same as,3,4,yes
6,,is more than,is less than,2,1,the same as,4,3,no
6,,is more than,is less than,1,2,opposite to,3,4,yes
6,,is more than,is less than,1,2,opposite to,4,3,no
6,,is more than,is less than,2,1,opposite to,3,4,yes
6,,is more than,is less than,2,1,opposite to,4,3,no
6,,is less than,is less than,1,2,the same as,3,4,yes
6,,is less than,is less than,1,2,the same as,4,3,no
6,,is less than,is less than,2,1,the same as,3,4,no
6,,is less than,is less than,2,1,the same as,4,3,yes
6,,is less than,is less than,1,2,opposite to,3,4,no
6,,is less than,is less than,1,2,opposite to,4,3,yes
6,,is less than,is less than,2,1,opposite to,3,4,yes
6,,is less than,is less than,2,1,opposite to,4,3,no
