block,trial_num,relation_1,relation_2,q_stim_1_id,q_stim_2_id,q_rel,q_stim_3_id,q_stim_4_id,correct_response,trial_num
6,,is hetzelfde als,is hetzelfde als,1,2,hetzelfde als,3,4,yes,81
6,,is hetzelfde als,is hetzelfde als,1,2,het tegenovergestelde van,4,3,no,82
6,,is hetzelfde als,is hetzelfde als,2,1,het tegenovergestelde van,4,3,no,83
6,,is hetzelfde als,is het tegenovergestelde van,1,2,hetzelfde als,4,3,no,84
6,,is hetzelfde als,is het tegenovergestelde van,2,1,het tegenovergestelde van,3,4,yes,85
6,,is het tegenovergestelde van,is het tegenovergestelde van,1,2,hetzelfde als,4,3,yes,86
6,,is het tegenovergestelde van,is het tegenovergestelde van,1,2,het tegenovergestelde van,3,4,no,87
6,,is het tegenovergestelde van,is het tegenovergestelde van,2,1,het tegenovergestelde van,3,4,no,88
6,,is meer dan,is meer dan,1,2,hetzelfde als,4,3,no,89
6,,is meer dan,is meer dan,1,2,het tegenovergestelde van,3,4,no,90
6,,is meer dan,is meer dan,2,1,het tegenovergestelde van,3,4,yes,91
6,,is meer dan,is minder dan,1,2,hetzelfde als,3,4,no,92
6,,is meer dan,is minder dan,2,1,het tegenovergestelde van,4,3,no,93
6,,is minder dan,is minder dan,2,1,hetzelfde als,3,4,no,94
6,,is minder dan,is minder dan,1,2,het tegenovergestelde van,4,3,yes,95
6,,is minder dan,is minder dan,2,1,het tegenovergestelde van,4,3,no,96
