block,relation_1,meta_relation_1,relation_2,meta_stim_1_id,meta_relation_2,meta_stim_2_id,q_stim_1_id,q_rel,q_stim_2_id,correct_response
8,+,is the same as,+,1,is more than,3,2,more than,4,no
8,+,is the same as,+,1,is more than,3,2,less than,4,yes
8,+,is the same as,+,1,is more than,3,4,more than,2,yes
8,+,is the same as,+,1,is more than,3,4,less than,2,no
8,+,is the same as,+,1,is less than,3,2,more than,4,yes
8,+,is the same as,+,1,is less than,3,2,less than,4,no
8,+,is the same as,+,1,is less than,3,4,more than,2,no
8,+,is the same as,+,1,is less than,3,4,less than,2,yes
8,-,is the same as,-,1,is more than,3,2,more than,4,yes
8,-,is the same as,-,1,is more than,3,2,less than,4,no
8,-,is the same as,-,1,is more than,3,4,more than,2,no
8,-,is the same as,-,1,is more than,3,4,less than,2,yes
8,-,is the same as,-,1,is less than,3,2,more than,4,no
8,-,is the same as,-,1,is less than,3,2,less than,4,yes
8,-,is the same as,-,1,is less than,3,4,more than,2,yes
8,-,is the same as,-,1,is less than,3,4,less than,2,no
8,+,is the same as,+,2,is more than,4,1,more than,3,no
8,+,is the same as,+,2,is more than,4,1,less than,3,yes
8,+,is the same as,+,2,is more than,4,3,more than,1,yes
8,+,is the same as,+,2,is more than,4,3,less than,1,no
8,+,is the same as,+,2,is less than,4,1,more than,3,yes
8,+,is the same as,+,2,is less than,4,1,less than,3,no
8,+,is the same as,+,2,is less than,4,3,more than,1,no
8,+,is the same as,+,2,is less than,4,3,less than,1,yes
8,-,is the same as,-,2,is more than,4,1,more than,3,yes
8,-,is the same as,-,2,is more than,4,1,less than,3,no
8,-,is the same as,-,2,is more than,4,3,more than,1,no
8,-,is the same as,-,2,is more than,4,3,less than,1,yes
8,-,is the same as,-,2,is less than,4,1,more than,3,no
8,-,is the same as,-,2,is less than,4,1,less than,3,yes
8,-,is the same as,-,2,is less than,4,3,more than,1,yes
8,-,is the same as,-,2,is less than,4,3,less than,1,no
9,+,is more than,+,1,is the same as,3,2,more than,4,yes
9,+,is more than,+,1,is the same as,3,2,less than,4,no
9,+,is more than,+,1,is the same as,3,4,more than,2,no
9,+,is more than,+,1,is the same as,3,4,less than,2,yes
9,-,is more than,-,1,is the same as,3,2,more than,4,no
9,-,is more than,-,1,is the same as,3,2,less than,4,yes
9,-,is more than,-,1,is the same as,3,4,more than,2,yes
9,-,is more than,-,1,is the same as,3,4,less than,2,no
9,+,is less than,+,2,is the same as,4,1,more than,3,no
9,+,is less than,+,2,is the same as,4,1,less than,3,yes
9,+,is less than,+,2,is the same as,4,3,more than,1,yes
9,+,is less than,+,2,is the same as,4,3,less than,1,no
9,-,is less than,-,2,is the same as,4,1,more than,3,no
9,-,is less than,-,2,is the same as,4,1,less than,3,yes
9,-,is less than,-,2,is the same as,4,3,more than,1,yes
9,-,is less than,-,2,is the same as,4,3,less than,1,no
