block,relation_1,stim_3_id,relation_2,stim_4_id,stim_5_id,relation_3,stim_6_id,stim_7_id,relation_4,stim_8_id,q_stim_1_id,q_rel,q_stim_2_id,correct_response,trial_num,q_word
1,is hetzelfde als,2,is hetzelfde als,3,,,,,,,1,hetzelfde als,3,yes,1,Is
1,is hetzelfde als,2,is hetzelfde als,3,,,,,,,3,het tegenovergestelde van,1,no,2,Is
1,is hetzelfde als,2,is het tegenovergestelde van,3,,,,,,,1,hetzelfde als,3,no,3,Is
1,is hetzelfde als,2,is het tegenovergestelde van,3,,,,,,,3,het tegenovergestelde van,1,yes,4,Is
1,is het tegenovergestelde van,2,is het tegenovergestelde van,3,,,,,,,1,hetzelfde als,3,yes,5,Is
1,is het tegenovergestelde van,2,is het tegenovergestelde van,3,,,,,,,3,het tegenovergestelde van,1,no,6,Is
1,is hetzelfde als,2,is het tegenovergestelde van,3,3,is hetzelfde als,4,,,,1,hetzelfde als,4,no,7,Is
1,is hetzelfde als,2,is het tegenovergestelde van,3,3,is hetzelfde als,4,,,,4,het tegenovergestelde van,1,yes,8,Is
1,is het tegenovergestelde van,2,is hetzelfde als,3,3,is het tegenovergestelde van,4,,,,1,hetzelfde als,4,yes,9,Is
1,is het tegenovergestelde van,2,is hetzelfde als,3,3,is het tegenovergestelde van,4,,,,4,het tegenovergestelde van,1,no,10,Is
1,is het tegenovergestelde van,2,is het tegenovergestelde van,3,3,is het tegenovergestelde van,4,,,,1,hetzelfde als,4,yes,11,Is
1,is het tegenovergestelde van,2,is het tegenovergestelde van,3,3,is het tegenovergestelde van,4,,,,4,het tegenovergestelde van,1,no,12,Is
1,is het tegenovergestelde van,2,is hetzelfde als,3,3,is het tegenovergestelde van,4,4,is hetzelfde als,5,1,hetzelfde als,5,yes,13,Is
1,is het tegenovergestelde van,2,is hetzelfde als,3,3,is het tegenovergestelde van,4,4,is hetzelfde als,5,5,het tegenovergestelde van,1,no,14,Is
1,is hetzelfde als,2,is het tegenovergestelde van,3,3,is hetzelfde als,4,4,is het tegenovergestelde van,5,1,hetzelfde als,5,no,15,Is
1,is hetzelfde als,2,is het tegenovergestelde van,3,3,is hetzelfde als,4,4,is het tegenovergestelde van,5,5,het tegenovergestelde van,1,yes,16,Is
2,is hetzelfde als,2,is hetzelfde als,3,,,,,,,3,hetzelfde als,1,yes,17,Is
2,is hetzelfde als,2,is hetzelfde als,3,,,,,,,1,anders dan,3,no,18,Is
2,is hetzelfde als,2,is anders dan,3,,,,,,,3,hetzelfde als,1,yes,19,Is
2,is hetzelfde als,2,is anders dan,3,,,,,,,1,anders dan,3,yes,20,Is
2,is anders dan,2,is hetzelfde als,3,,,,,,,3,hetzelfde als,1,no,21,Is
2,is anders dan,2,is hetzelfde als,3,,,,,,,1,anders dan,3,yes,22,Is
2,is hetzelfde als,2,is anders dan,3,3,is hetzelfde als,4,,,,4,hetzelfde als,1,no,23,Is
2,is hetzelfde als,2,is anders dan,3,3,is hetzelfde als,4,,,,1,anders dan,4,yes,24,Is
